Program,Faculty,Faculty Code,Department,Major,Major Code,Probationary Year,Year 1,Year 2,Year 3,Year 4,Year 5,Total
Doctoral,Faculty of Arts and Humanities,FAH,Department of Chinese,Linguistics/Linguistics (Chinese) (PLN06 / DLC),DLC,7,3,4,2,,,16
Doctoral,Faculty of Arts and Humanities,FAH,Department of Chinese,Literary Studies/Literary Studies (Chinese) (PLS06 / DSC),DSC,12,4,6,5,,,27
Doctoral,Faculty of Arts and Humanities,FAH,Department of English,Linguistics/Linguistics (English) (PLN06 / DLE),DLE,7,2,4,1,,,14
Doctoral,Faculty of Arts and Humanities,FAH,Department of English,Literary Studies (English) (DSE),DSE,5,0,0,0,,,5
Doctoral,Faculty of Arts and Humanities,FAH,Department of English,Philosophy and Religious Studies (DRS),DRS,6,0,0,0,,,6
Doctoral,Faculty of Arts and Humanities,FAH,Department of Portuguese,Linguistics/Linguistics (Portuguese) (PLN06 / DLP),DLP,4,0,0,3,,,7
Doctoral,Faculty of Arts and Humanities,FAH,Department of Portuguese,Literary Studies (Portuguese) (DSP),DSP,1,0,1,0,,,2
Doctoral,Faculty of Business Administration,FBA,,Business Administration (DBA),DBA,17,8,2,0,,,27
Doctoral,Faculty of Business Administration,FBA,,Database Management and Information System (PDM06),PDM06,0,0,1,0,,,1
Doctoral,Faculty of Business Administration,FBA,,Economics (PEC06),PEC06,0,0,1,0,,,1
Doctoral,Faculty of Business Administration,FBA,,Strategic Management (PSM06),PSM06,0,0,2,0,,,2
Doctoral,Faculty of Education,FED,,Education (PED06 / DED),DED,9,2,2,1,,,14
Doctoral,Faculty of Health Sciences,FHS,,Biomedical Sciences (DBM),DBM,1,0,0,0,,,1
Doctoral,Faculty of Law,FLL,,Law (DLL),DLL,41,5,2,0,,,48
Doctoral,Faculty of Law,FLL,,Enterprise Juridical Sciences (PEJ06),PEJ06,0,0,0,1,,,1
Doctoral,Faculty of Law,FLL,,Comparative Juridical Sciences (PJC06),PJC06,0,1,0,0,,,1
Doctoral,Faculty of Law,FLL,,Private Juridical Sciences (PPJ06),PPJ06,1,0,1,0,,,2
Doctoral,Faculty of Law,FLL,,Public or Political Juridical Sciences (PSJ06),PSJ06,0,1,1,0,,,2
Doctoral,Faculty of Science and Technology,FST,Department of Civil and Environmental Engineering,Civil Engineering (DCE),DCE,5,2,3,0,,,10
Doctoral,Faculty of Science and Technology,FST,Department of Computer and Information Science,Software Engineering (PSO06 / DSO),DSO,27,6,12,3,,,48
Doctoral,Faculty of Science and Technology,FST,Department of Electrical and Computer Engineering,Electrical and Electronics Engineering (PEE06 / DEE),DEE,1,7,14,1,,,23
Doctoral,Faculty of Science and Technology,FST,Department of Electrical and Computer Engineering,Electrical and Computer Engineering (DET),DET,17,0,0,0,,,17
Doctoral,Faculty of Science and Technology,FST,Department of Electromechanical Engineering,Electromechanical Engineering (PEM06 / DEM),DEM,10,2,4,2,,,18
Doctoral,Faculty of Science and Technology,FST,Department of Mathematics,Mathematics (DMT),DMT,17,1,0,1,,,19
Doctoral,Faculty of Social Sciences,FSS,Department of Communication,Communication (PCC / DCC),DCC,15,1,0,2,,,18
Doctoral,Faculty of Social Sciences,FSS,Department of Economics,Economics (PPE06 / DEC),DEC,3,0,0,1,,,4
Doctoral,Faculty of Social Sciences,FSS,Department of Government and Public Administration,Public Administration (PPA / PPA06 / DPA),DPA,1,0,0,7,,,8
Doctoral,Faculty of Social Sciences,FSS,Department of Government and Public Administration,Political Science (DPS),DPS,4,2,4,0,,,10
Doctoral,Faculty of Social Sciences,FSS,Department of History,History (DHT),DHT,4,0,8,2,,,14
Doctoral,Faculty of Social Sciences,FSS,Department of Psychology,Psychology (DPC),DPC,6,3,2,0,,,11
Doctoral,Faculty of Social Sciences,FSS,Department of Sociology,Sociology (PSC / DSY),DSY,9,3,2,1,,,15
Doctoral,Institute of Chinese Medical Sciences,ICMS,,Biomedical Sciences (PBS06 / DBS),DBS,63,7,0,18,,,88
Master,Faculty of Arts and Humanities,FAH,Department of Chinese,Chinese Studies in Literature Studies (MCS-LT),MCS-LT,,0,4,,,,4
Master,Faculty of Arts and Humanities,FAH,Department of Chinese,Chinese Linguistics (MAH-CLN),MAH-CLN,,20,19,,,,39
Master,Faculty of Arts and Humanities,FAH,Department of Chinese,Chinese Literature (MAH-CLT),MAH-CLT,,30,39,,,,69
Master,Faculty of Arts and Humanities,FAH,Department of English,Applied English (MAH-APP),MAH-APP,,2,3,,,,5
Master,Faculty of Arts and Humanities,FAH,Department of English,English Studies (MAH-ELS / ENG),MAH-ELS,,47,44,,,,91
Master,Faculty of Arts and Humanities,FAH,Department of English,Translation Studies (MAH-TRS),MAH-TRS,,78,36,,,,114
Master,Faculty of Arts and Humanities,FAH,Department of Portuguese,Portuguese Language and Culture (MAH-MPL),MAH-MPL,,30,2,,,,32
